0.022 0.00298223   -11.5332    0.44513    3.64532     1.4986    1.10861   0.499617
0.886 -nan -nan -nan -nan -nan -nan  nan
0.888 -nan -nan -nan -nan -nan -nan  nan
0.89 -nan -nan -nan -nan -nan -nan  nan
0.892 -nan -nan -nan -nan -nan -nan  nan
0.894 -nan -nan -nan -nan -nan -nan  nan
0.896 -nan -nan -nan -nan -nan -nan  nan
0.898 -nan -nan -nan -nan -nan -nan  nan
0.9 -nan -nan -nan -nan -nan -nan  nan
0.902 -nan -nan -nan -nan -nan -nan  nan
0.904 -nan -nan -nan -nan -nan -nan  nan
0.906 -nan -nan -nan -nan -nan -nan  nan
0.908 -nan -nan -nan -nan -nan -nan  nan
0.91 -nan -nan -nan -nan -nan -nan  nan
0.912 -nan -nan -nan -nan -nan -nan  nan
0.914 -nan -nan -nan -nan -nan -nan  nan
0.916 -nan -nan -nan -nan -nan -nan  nan
0.918 -nan -nan -nan -nan -nan -nan  nan
0.921 -nan -nan -nan -nan -nan -nan  nan
0.922 -nan -nan -nan -nan -nan -nan  nan
0.924 -nan -nan -nan -nan -nan -nan  nan
0.926 -nan -nan -nan -nan -nan -nan  nan
0.928 -nan -nan -nan -nan -nan -nan  nan
0.93 -nan -nan -nan -nan -nan -nan  nan
0.932 -nan -nan -nan -nan -nan -nan  nan
0.934 -nan -nan -nan -nan -nan -nan  nan
0.936 -nan -nan -nan -nan -nan -nan  nan
0.938 -nan -nan -nan -nan -nan -nan  nan
0.94 -nan -nan -nan -nan -nan -nan  nan
0.942 -nan -nan -nan -nan -nan -nan  nan
0.944 -nan -nan -nan -nan -nan -nan  nan
0.946 -nan -nan -nan -nan -nan -nan  nan
0.948 -nan -nan -nan -nan -nan -nan  nan
0.95 -nan -nan -nan -nan -nan -nan  nan
0.952 -nan -nan -nan -nan -nan -nan  nan
0.954 -nan -nan -nan -nan -nan -nan  nan
0.956 -nan -nan -nan -nan -nan -nan  nan
0.958 -nan -nan -nan -nan -nan -nan  nan
0.96 -nan -nan -nan -nan -nan -nan  nan
0.962 -nan -nan -nan -nan -nan -nan  nan
0.964 -nan -nan -nan -nan -nan -nan  nan
0.966 -nan -nan -nan -nan -nan -nan  nan
0.968 -nan -nan -nan -nan -nan -nan  nan
0.97 -nan -nan -nan -nan -nan -nan  nan
0.972 -nan -nan -nan -nan -nan -nan  nan
0.974 -nan -nan -nan -nan -nan -nan  nan
0.976 -nan -nan -nan -nan -nan -nan  nan
0.978 -nan -nan -nan -nan -nan -nan  nan
0.98 -nan -nan -nan -nan -nan -nan  nan
0.982 -nan -nan -nan -nan -nan -nan  nan
0.984 -nan -nan -nan -nan -nan -nan  nan
0.986 -nan -nan -nan -nan -nan -nan  nan
0.988 -nan -nan -nan -nan -nan -nan  nan
0.99 -nan -nan -nan -nan -nan -nan  nan
0.992 -nan -nan -nan -nan -nan -nan  nan
0.994 -nan -nan -nan -nan -nan -nan  nan
0.996 -nan -nan -nan -nan -nan -nan  nan
0.998 -nan -nan -nan -nan -nan -nan  nan
1 -nan -nan -nan -nan -nan -nan  nan
1.002 -nan -nan -nan -nan -nan -nan  nan
1.004 -nan -nan -nan -nan -nan -nan  nan
1.006 -nan -nan -nan -nan -nan -nan  nan
1.008 -nan -nan -nan -nan -nan -nan  nan
1.01 -nan -nan -nan -nan -nan -nan  nan
1.012 -nan -nan -nan -nan -nan -nan  nan
1.014 -nan -nan -nan -nan -nan -nan  nan
1.016 -nan -nan -nan -nan -nan -nan  nan
1.018 -nan -nan -nan -nan -nan -nan  nan
1.02 -nan -nan -nan -nan -nan -nan  nan
1.022 -nan -nan -nan -nan -nan -nan  nan
1.025 -nan -nan -nan -nan -nan -nan  nan
1.026 -nan -nan -nan -nan -nan -nan  nan
1.028 -nan -nan -nan -nan -nan -nan  nan
1.03 -nan -nan -nan -nan -nan -nan  nan
1.032 -nan -nan -nan -nan -nan -nan  nan
1.034 -nan -nan -nan -nan -nan -nan  nan
1.036 -nan -nan -nan -nan -nan -nan  nan
1.038 -nan -nan -nan -nan -nan -nan  nan
1.04 -nan -nan -nan -nan -nan -nan  nan
1.042 -nan -nan -nan -nan -nan -nan  nan
1.044 -nan -nan -nan -nan -nan -nan  nan
1.046 -nan -nan -nan -nan -nan -nan  nan
1.048 -nan -nan -nan -nan -nan -nan  nan
1.05 -nan -nan -nan -nan -nan -nan  nan
1.052 -nan -nan -nan -nan -nan -nan  nan
1.054 -nan -nan -nan -nan -nan -nan  nan
1.056 -nan -nan -nan -nan -nan -nan  nan
